N,P,K,pH,temperature,rainfall,crop
66,46,42,6.502985292,20.87974371,202.9355362,rice
89,60,45,7.038096361,21.77046169,226.6555374,rice
87,44,44,7.840207144,23.00445915,263.9642476,rice
63,38,38,6.980400905,26.49109635,242.8640342,rice
78,48,35,7.628472891,20.13017482,262.7173405,rice
100,54,41,7.073453503,23.05804872,251.0549998,rice
68,50,37,5.70080568,22.70883798,271.3248604,rice
92,35,35,5.718627178,20.27774362,241.9741949,rice
96,49,36,6.685346424,24.51588066,230.4462359,rice
66,60,39,6.336253525,23.22397386,221.2091958,rice
72,53,39,5.386167788,26.52723513,264.6148697,rice
91,37,35,7.50283396,23.97898217,250.0832336,rice
94,59,44,5.108681786,26.80079604,284.4364567,rice
65,41,42,6.98435366,24.01497622,185.2773389,rice
87,58,43,6.94801983,25.66585205,209.5869708,rice
96,45,38,7.042299069,24.28209415,231.0863347,rice
63,45,37,6.249050656,21.58711777,276.6552459,rice
93,59,45,6.970859754,23.79391957,206.2611855,rice
74,38,35,5.953933276,21.8652524,224.5550169,rice
99,41,44,5.85393208,23.57943626,291.2986618,rice
76,60,36,6.442475375,21.32504158,185.4974732,rice
93,43,42,5.070175667,25.15745531,231.3843163,rice
77,52,44,6.012632591,21.94766735,213.3560921,rice
82,50,40,6.254028451,21.0525355,233.1075816,rice
61,35,38,7.375482851,23.48381344,224.0581164,rice
93,42,44,7.778915154,25.0756354,257.0038865,rice
84,37,35,6.286500176,26.35927159,271.3586137,rice
72,53,35,7.070959995,24.52922681,260.2634026,rice
88,43,45,6.244841491,20.77576147,240.0810647,rice
82,60,37,6.043304899,22.30157427,197.9791215,rice
60,39,36,5.824709117,21.44653958,272.2017204,rice
63,49,40,6.357389366,22.17931888,200.0882787,rice
88,51,39,6.364134968,24.52783742,224.6757231,rice
90,41,35,5.01450727,20.26707606,270.4417274,rice
64,49,44,6.149410611,25.7354293,233.1321372,rice
74,38,44,5.950660556,26.79533926,193.3473987,rice
81,40,37,5.960370061,26.75754171,272.2999056,rice
73,59,38,5.561398642,23.86330467,285.2493645,rice
61,51,38,7.416245107,21.01944696,298.4018471,rice
83,42,40,5.583370042,24.17298839,257.0343554,rice
61,35,36,6.430010215,22.78133816,248.7183228,rice
96,42,41,5.534878156,25.62980105,209.9001977,rice
87,51,44,6.903985986,25.59704938,200.834898,rice
96,49,40,6.271478838,23.83067496,298.5601175,rice
86,54,41,7.224285503,26.31355498,265.5355937,rice
63,35,44,6.13428721,24.8972823,183.6793207,rice
79,43,41,5.206373153,24.958779,196.9560008,rice
98,53,42,7.782051313,23.24113501,233.0453455,rice
74,51,39,7.062779015,21.66628296,210.8142087,rice
69,52,39,7.730367824,24.63544858,253.7202781,rice
67,51,35,5.286203711,23.43121862,219.9048349,rice
66,35,44,6.766240045,20.0454142,208.5810155,rice
64,50,42,7.382762603,23.85724032,195.0948311,rice
96,46,45,5.658169482,21.97199397,227.3637009,rice
71,47,40,5.543360238,26.22916897,286.5083725,rice
88,50,44,6.215109715,23.44676801,283.9338466,rice
94,59,38,7.120272972,25.65553461,217.3788583,rice
87,42,40,5.950647577,24.44345477,267.9761948,rice
74,57,38,7.236705436,20.2801937,191.9535738,rice
62,51,37,6.501697816,21.7238313,277.9626192,rice
86,60,41,7.592490617,20.41447029,245.1511304,rice
88,36,40,5.875345751,25.75528612,245.6626799,rice
60,48,37,6.932400225,20.61521424,279.5451717,rice
77,46,41,6.946209881,21.84106875,202.3838319,rice
83,54,45,5.739175027,20.08369642,263.6372176,rice
85,48,40,6.738652179,24.45802087,182.5616319,rice
89,45,35,5.594819626,21.14347496,198.6730942,rice
60,46,36,6.946636369,25.78720567,243.5120414,rice
80,51,40,5.012139669,23.64124821,263.1103304,rice
87,57,44,6.363472208,23.43191632,269.5039162,rice
88,54,35,6.880431223,24.97669518,204.8001847,rice
99,59,37,7.300410836,22.72791041,260.8875056,rice
80,44,41,6.587918708,24.87300744,295.6094492,rice
83,56,38,7.283736617,21.32376327,192.3197536,rice
62,37,45,7.023936392,26.29465461,257.4914906,rice
82,56,36,6.939083505,22.2286982,278.0791793,rice
94,52,43,7.868474653,26.73072391,280.4044392,rice
89,51,39,5.005306977,24.88921174,185.9461429,rice
93,42,41,6.136131869,26.88444878,194.5766559,rice
97,55,39,7.524080076,22.67846116,200.9133156,rice
75,39,44,5.706943251,26.08867875,182.9043504,rice
77,35,43,5.758506323,25.42977518,195.3574542,rice
95,35,40,6.349606327,26.40323239,223.3671883,rice
94,47,35,5.999969026,26.04371967,186.7536773,rice
88,36,36,5.453592032,25.2827223,220.1156708,rice
66,39,45,6.372576327,22.08576562,231.7364957,rice
78,53,40,5.105588355,23.28617173,242.3170629,rice
81,43,36,5.935344406,25.48591986,182.6549356,rice
68,56,37,5.17782304,23.67575393,233.7034975,rice
