N,P,K,pH,temperature,rainfall,crop
82.0,40.0,39.0,6.7875,28.5,40.0,jowar
40.0,4.5,21.0,6.1,17.125,48.125,pulses
103.75,54.0,207.5,6.6875,30.875,20.0,oilcrop
40.0,4.5,21.0,6.1,18.0,48.125,pulses
103.75,54.0,207.5,6.5,30.0,20.0,oilcrop
128.0,44.85,213.525,7.15,23.5,74.5,wheat
191.0,89.0,235.0,6.8125,22.5,80.0,maize
200.0,53.0,280.0,7.0,23.65,137.5,sugercane
130.0,25.75,100.0,6.0,30.625,54.925,grapes
80.0,38.05,41.0,7.1375,29.125,40.0,jowar
126.25,25.0,103.0,6.0,30.0,55.0,grapes
200.0,53.0,280.0,7.0,23.65,133.125,sugercane
130.0,25.0,100.0,6.0,28.5,53.5,grapes
191.0,89.0,240.875,7.0,21.825,78.5,maize
126.25,25.0,97.0,6.0,30.0,55.0,grapes
191.0,89.0,229.125,7.0,22.5,80.0,maize
205.0,53.0,280.0,7.2,22.35,140.0,sugercane
128.0,44.85,219.0,7.3125,23.5,74.5,wheat
128.0,47.15,224.475,7.15,23.5,76.05,wheat
133.75,24.25,100.0,6.0,30.0,56.5,grapes
191.0,91.225,235.0,7.0,22.5,80.0,maize
195.0,51.675,273.0,7.0,22.35,137.5,sugercane
80.0,41.0,38.9525,7.0,28.5,40.0,jowar
130.0,25.75,100.0,6.0,30.625,53.5,grapes
96.25,54.0,207.5,6.3625,29.125,20.0,oilcrop
133.75,25.0,100.0,5.8375,30.0,55.0,grapes
40.0,4.5,20.7,6.1,17.125,51.875,pulses
191.0,86.775,235.0,7.0,22.5,80.0,maize
191.0,89.0,240.875,7.0,21.825,80.0,maize
200.0,53.0,287.0,7.0,23.65,141.875,sugercane
80.0,40.0,40.0,7.0,27.875,39.0,jowar
133.75,25.0,100.0,5.8375,29.375,55.0,grapes
80.0,39.0,40.0,7.0,27.875,40.0,jowar
80.0,40.0,40.947500000000005,7.0,29.3,41.0,jowar
124.8,44.85,224.475,7.15,23.5,74.5,wheat
78.0,41.0,40.0,7.0,29.125,39.0,jowar
200.0,53.0,273.0,7.0,23.65,137.5,sugercane
40.0,4.5,20.7,5.9125,17.5,51.875,pulses
133.75,25.0,102.0,5.8375,30.0,55.0,grapes
101.25,54.0,207.5,6.5,30.0,19.5,oilcrop
40.0,4.5,20.7,5.9125,17.5,51.875,pulses
40.0,4.5,20.25,6.2875,17.875,48.125,pulses
100.0,54.0,207.5,6.5,30.0,20.5,oilcrop
80.0,40.0,40.0,7.1375,27.875,40.0,jowar
100.0,54.0,207.5,6.3125,30.0,20.0,oilcrop
200.0,54.325,287.0,6.85,22.35,137.5,sugercane
40.0,4.5,21.3,5.9125,17.5,53.84375,pulses
128.0,47.15,219.0,6.9875,23.5,76.05,wheat
191.0,89.0,235.0,6.8125,22.5,80.0,maize
130.0,25.5,100.0,6.0,29.375,53.5,grapes
200.0,53.0,280.0,7.0,23.65,137.5,sugercane
122.6875,25.0,100.0,6.0,30.0,55.0,grapes
191.0,89.0,240.875,7.0,23.175,80.0,maize
78.0,40.0,39.0,7.0,28.5,40.0,jowar
40.0,4.5,21.0,6.1,17.5,51.875,pulses
103.75,54.0,217.125,6.5,30.875,20.0,oilcrop
80.0,40.0,39.95,7.0,27.7,41.0,jowar
130.0,26.5375,100.0,6.0,30.625,56.5,grapes
100.0,54.0,207.5,6.5,30.875,19.5,oilcrop
100.0,54.0,207.5,6.3125,30.0,20.0,oilcrop
40.0,4.5,21.0,6.1,17.5,51.875,pulses
130.0,25.5,97.0,6.0,29.375,53.5,grapes
100.0,54.0,207.5,6.3125,30.0,20.0,oilcrop
40.0,4.55,21.0,6.2875,17.5,51.875,pulses
40.0,4.55,21.0,6.1,17.875,51.875,pulses
40.0,4.5,21.0,6.1,17.0,48.125,pulses
128.0,44.85,219.0,7.15,23.5,74.5,wheat
191.0,89.0,235.0,7.0,23.175,80.0,maize
40.0,4.5,21.0,6.1,17.875,48.125,pulses
100.0,54.0,207.5,6.5,30.0,20.0,oilcrop
130.0,25.0,100.0,6.0,28.5,52.075,grapes
40.0,4.5,21.0,6.2875,17.5,51.875,pulses
200.0,54.325,287.0,6.85,22.35,137.5,sugercane
40.0,4.5,21.0,6.1,17.0,48.125,pulses
100.0,54.0,207.5,6.5,30.0,20.5,oilcrop
40.0,4.5,21.0,6.1,17.0,48.125,pulses
40.0,4.45,21.0,6.1,17.875,51.875,pulses
128.0,44.85,219.0,7.15,23.5,74.5,wheat
133.75,24.25,100.0,6.0,30.0,56.5,grapes
125.4375,25.0,100.0,6.0,30.0,55.0,grapes
128.0,48.3,213.525,6.9875,23.5,72.95,wheat
130.0,24.4625,100.0,6.0,30.0,56.5,grapes
80.0,38.05,40.0,7.1375,29.125,39.0,jowar
128.0,44.85,219.0,7.15,23.5,74.5,wheat
191.0,89.0,240.875,7.0,22.5,80.0,maize
103.75,54.0,197.875,6.5,30.0,20.0,oilcrop
205.0,53.0,280.0,7.2,21.7325,135.0,sugercane
97.5,54.0,207.5,6.5,31.79375,20.0,oilcrop
200.0,53.0,280.0,7.0,23.65,133.125,sugercane
80.0,38.05,40.0,6.8625,29.125,41.0,jowar
40.0,4.5,21.0,6.1,17.5,51.875,pulses
200.0,51.675,280.0,7.0,23.65,141.875,sugercane
191.0,89.0,235.0,6.8125,22.5,80.0,maize
